Date : 2023-05-25 22:43:00
Directory : /Users/ramidmour/development/flutter_calory_calculator
Total : 93 files,  2832 codes, 213 comments, 400 blanks, all 3445 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/ramidmour/development/flutter_calory_calculator/lib/controllers/detailed_registration_controller.dart         | Dart       |          6 |          0 |         -2 |          4 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/controllers/diary_page_controller.dart                    | Dart       |          7 |          0 |          1 |          8 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/controllers/favorite_controller.dart                      | Dart       |         31 |          0 |          9 |         40 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/controllers/products_controller.dart                      | Dart       |         13 |          0 |         -2 |         11 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/controllers/profile_controller.dart                       | Dart       |          5 |          0 |          3 |          8 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/controllers/profiles_page_controller.dart                 | Dart       |         19 |          0 |          6 |         25 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/controllers/reports_controller.dart                       | Dart       |         45 |          0 |          5 |         50 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/controllers/splash_controller.dart                        | Dart       |          1 |          0 |          0 |          1 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/controllers/user_products_controller.dart                 | Dart       |         31 |          0 |         10 |         41 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/entity/chart_stats_entity.dart                            | Dart       |         18 |          0 |          2 |         20 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/entity/date_period_entity.dart                            | Dart       |         41 |          0 |         11 |         52 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/entity/report_entity.dart                                 | Dart       |          6 |          0 |          0 |          6 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/models/favorite.dart                                      | Dart       |         48 |          0 |         12 |         60 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/models/product.dart                                       | Dart       |         13 |          0 |          0 |         13 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/models/profile.dart                                       | Dart       |         24 |          0 |          0 |         24 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/models/report.dart                                        | Dart       |          7 |          0 |          0 |          7 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/pages/add_activity_page.dart                              | Dart       |         86 |          0 |          3 |         89 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/pages/add_meal_page.dart                                  | Dart       |         66 |          0 |          9 |         75 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/pages/charts_page.dart                                    | Dart       |         86 |          0 |          3 |         89 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/pages/detailed_registration_page.dart                     | Dart       |         26 |          0 |          0 |         26 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/pages/diary_page.dart                                     | Dart       |         22 |          0 |          0 |         22 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/pages/login_page.dart                                     | Dart       |         -1 |          0 |          1 |          0 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/pages/measurements_page.dart                              | Dart       |         17 |          0 |          3 |         20 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/pages/profile_page.dart                                   | Dart       |         13 |          0 |          3 |         16 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/pages/profiles_page.dart                                  | Dart       |         72 |          0 |          3 |         75 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/pages/registration_page.dart                              | Dart       |          2 |          0 |          0 |          2 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/widgets/common/chart.dart                                 | Dart       |         37 |          0 |          5 |         42 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/widgets/common/create_product_dialog.dart                 | Dart       |        140 |          0 |          7 |        147 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/widgets/common/custom_bottom_navigation_bar.dart          | Dart       |         39 |          0 |          3 |         42 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/widgets/common/expandable_activity.dart                   | Dart       |         83 |          0 |          4 |         87 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/widgets/common/expandable_product.dart                    | Dart       |         17 |          0 |          0 |         17 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/widgets/common/input_dialog.dart                          | Dart       |          1 |          0 |          1 |          2 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/widgets/common/selector.dart                              | Dart       |          1 |          0 |          0 |          1 |
| /Users/ramidmour/development/flutter_calory_calculator/linux/flutter/generated_plugin_registrant.cc                  | C++        |          7 |          4 |          5 |         16 |
| /Users/ramidmour/development/flutter_calory_calculator/linux/flutter/generated_plugin_registrant.h                   | C++        |          5 |          5 |          6 |         16 |
| /Users/ramidmour/development/flutter_calory_calculator/linux/main.cc                                                 | C++        |          5 |          0 |          2 |          7 |
| /Users/ramidmour/development/flutter_calory_calculator/linux/my_application.cc                                       | C++        |         74 |         11 |         20 |        105 |
| /Users/ramidmour/development/flutter_calory_calculator/linux/my_application.h                                        | C++        |          7 |          7 |          5 |         19 |
| /Users/ramidmour/development/flutter_calory_calculator/macos/Flutter/GeneratedPluginRegistrant.swift                 | Swift      |         10 |          3 |          4 |         17 |
| /Users/ramidmour/development/flutter_calory_calculator/macos/Runner/AppDelegate.swift                                | Swift      |          8 |          0 |          2 |         10 |
| /Users/ramidmour/development/flutter_calory_calculator/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json | JSON       |         68 |          0 |          1 |         69 |
| /Users/ramidmour/development/flutter_calory_calculator/macos/Runner/Base.lproj/MainMenu.xib                          | XML        |        343 |          0 |          1 |        344 |
| /Users/ramidmour/development/flutter_calory_calculator/macos/Runner/MainFlutterWindow.swift                          | Swift      |         12 |          0 |          4 |         16 |
| /Users/ramidmour/development/flutter_calory_calculator/pubspec.yaml                                                  | YAML       |         26 |          0 |          4 |         30 |
| /Users/ramidmour/development/flutter_calory_calculator/test/widget_test.dart                                         | Dart       |         14 |         10 |          7 |         31 |
| /Users/ramidmour/development/flutter_calory_calculator/web/index.html                                                | HTML       |         37 |         16 |          6 |         59 |
| /Users/ramidmour/development/flutter_calory_calculator/web/manifest.json                                             | JSON       |         35 |          0 |          1 |         36 |
| /Users/ramidmour/development/flutter_calory_calculator/windows/flutter/generated_plugin_registrant.cc                | C++        |          9 |          4 |          5 |         18 |
| /Users/ramidmour/development/flutter_calory_calculator/windows/flutter/generated_plugin_registrant.h                 | C++        |          5 |          5 |          6 |         16 |
| /Users/ramidmour/development/flutter_calory_calculator/windows/runner/flutter_window.cpp                             | C++        |         45 |          4 |         13 |         62 |
| /Users/ramidmour/development/flutter_calory_calculator/windows/runner/flutter_window.h                               | C++        |         20 |          5 |          9 |         34 |
| /Users/ramidmour/development/flutter_calory_calculator/windows/runner/main.cpp                                       | C++        |         30 |          4 |         10 |         44 |
| /Users/ramidmour/development/flutter_calory_calculator/windows/runner/resource.h                                     | C++        |          9 |          6 |          2 |         17 |
| /Users/ramidmour/development/flutter_calory_calculator/windows/runner/utils.cpp                                      | C++        |         53 |          2 |         10 |         65 |
| /Users/ramidmour/development/flutter_calory_calculator/windows/runner/utils.h                                        | C++        |          8 |          6 |          6 |         20 |
| /Users/ramidmour/development/flutter_calory_calculator/windows/runner/win32_window.cpp                               | C++        |        183 |         15 |         48 |        246 |
| /Users/ramidmour/development/flutter_calory_calculator/windows/runner/win32_window.h                                 | C++        |         48 |         29 |         22 |         99 |
| Total                                                                                                                |            |      2,832 |        213 |        400 |      3,445 |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
